Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,171.7,172.4,172.6,173.5,174.4,174.6,173.8,173.8,174.8,174,173.7,172.9
2002,173.2,173.7,174.7,175.8,175.8,175.9,176.1,176.6,177,177.3,177.4,177
2003,177.7,179.2,180.3,179.8,179.4,179.6,179.6,180.3,181,180.7,180.2,179.9
2004,180.9,181.9,182.9,183.5,184.7,185.3,184.9,185,185.4,186.5,186.8,186
2005,186.3,187.3,188.6,190.2,190,190.1,191,192.1,195,195.2,193.4,192.5
2006,194,194.2,195.3,197.2,198.2,198.6,199.2,199.6,198.4,197,196.8,197.2
2007,197.559,198.544,200.612,202.13,203.661,203.906,203.7,203.199,203.889,204.338,205.891,205.777
2008,206.744,207.254,209.147,210.698,212.788,215.223,216.304,215.247,214.935,212.182,207.296,204.813
2009,205.7,206.708,207.218,207.925,208.774,210.972,210.526,211.156,211.322,211.549,212.003,211.703
2010,212.568,212.544,213.525,213.958,214.124,213.839,213.898,214.205,214.306,214.623,214.75,215.262
2011,216.4,217.535,220.024,221.743,222.954,222.522,222.686,223.326,223.688,223.043,222.813,222.166
2012,223.216,224.317,226.304,227.012,226.6,226.036,225.568,227.056,228.184,227.974,226.595,225.889
2013,226.52,228.677,229.323,228.949,229.399,230.002,230.084,230.359,230.537,229.735,229.133,229.174
2014,230.04,230.871,232.56,233.443,234.216,234.702,234.525,234.03,234.17,233.229,231.551,229.909
2015,228.294,229.421,231.055,231.52,232.908,233.804,233.806,233.366,232.661,232.373,231.721,230.791
2016,231.061,230.972,232.209,233.438,234.436,235.289,234.771,234.904,235.495,235.732,235.215,235.39
2017,236.854,237.477,237.656,238.432,238.609,238.813,238.617,239.448,240.939,240.573,240.666,240.526
2018,241.919,242.988,243.463,244.607,245.77,246.196,246.155,246.336,246.565,247.038,245.933,244.786
2019,245.133,246.218,247.768,249.332,249.871,249.747,250.236,250.112,250.251,250.894,250.644,250.452
2020,251.361,251.935,251.375,249.515,249.521,251.054,252.636,253.597,254.004,254.076,253.826,254.081
2021,255.296,256.843,258.935,261.237,263.612,266.412,267.789,268.387,269.086,271.552,273.042,273.925
2022,276.296,278.943,283.176,284.575,288.022,292.542,292.219,291.629,291.854,293.003,292.495,291.051
2023,293.565,295.057,296.021,297.73,298.382,299.394,299.899,301.551,302.257,302.071,301.224,300.728
2024,302.201,304.284,306.502
