AcademicYear,Stipend12SEAS,Link
2014,33204,https://web.archive.org/web/20141205075201/http://www.seas.harvard.edu/audiences/prospective-graduates/funding
2015,34200,https://web.archive.org/web/20150901170505/http://www.seas.harvard.edu/audiences/prospective-graduates/funding
2016,35232,https://web.archive.org/web/20160916041423/http://www.seas.harvard.edu/audiences/prospective-graduates/funding
2017,35760,https://web.archive.org/web/20170820135728/http://www.seas.harvard.edu/audiences/prospective-graduates/funding
2018,36828,https://web.archive.org/web/20181110235212/https://www.seas.harvard.edu/audiences/prospective-graduates/funding
2019,37932,https://web.archive.org/web/20200326145643/https://www.seas.harvard.edu/prospective-students/prospective-graduate-students/funding-scholarship-graduate-programs
2020,39000,https://web.archive.org/web/20200928205402/https://www.seas.harvard.edu/prospective-students/prospective-graduate-students/funding-scholarship-graduate-programs
2021,40956,https://web.archive.org/web/20220504174922/https://www.seas.harvard.edu/prospective-students/prospective-graduate-students/funding-scholarship-graduate-programs
2022,42588,https://web.archive.org/web/20221129105556/https://www.seas.harvard.edu/prospective-students/prospective-graduate-students/funding-scholarship-graduate-programs
2023,43860,https://web.archive.org/web/20230526212718/https://seas.harvard.edu/prospective-students/prospective-graduate-students/funding-scholarship-graduate-programs
2024,48996,https://web.archive.org/web/20240507172405/https://seas.harvard.edu/prospective-students/prospective-graduate-students/funding-scholarship-graduate-programs
