AcademicYear,Stipend12Fellow,Stipend10AR,Stipend10AI,Link,Notes
2001,19200,,,https://pr.princeton.edu/pwb/01/0205/1c.shtml,Rescaled Fellowship from 10 months to 12 months
2002,,18100,19750,https://web.archive.org/web/20240507201623/https://pr.princeton.edu/admissions/g/ggs/03.htm,Values are the minimum of the ranges
2003,,,,,
2004,,,,,
2005,,,,,
2006,,20300,22350,https://web.archive.org/web/20060901103111/http://gradschool.princeton.edu/financial/assistantships/research/,Values are after passing general exam
2007,,,,,
2008,,22500,24700,https://web.archive.org/web/20080828174249/http://gradschool.princeton.edu/financial/assistantships/research/,Values are after passing general exam
2009,,23000,25450,https://web.archive.org/web/20100530154929/http://gradschool.princeton.edu/financial/assistantships/research/,Values are after passing general exam
2010,,,,,
2011,26784,,,https://finance.princeton.edu/sites/g/files/toruqf151/files/2019-09/2010-2011.pdf,Values for Social Sciences & Humanities
2012,,,,,
2013,,,,,
2014,29600,25670,28500,https://web.archive.org/web/20141006180214/http://gradschool.princeton.edu/node/1012,
2015,30500,26450,29350,https://web.archive.org/web/20150922051745/http://gradschool.princeton.edu/node/1012,
2016,31400,27300,30200,https://web.archive.org/web/20161101011417/https://gradschool.princeton.edu/node/1012,
2017,32400,28150,31100,https://web.archive.org/web/20170915232826/https://gradschool.princeton.edu/node/1012,
2018,33400,29000,32050,https://web.archive.org/web/20181215214514/https://gradschool.princeton.edu/node/1012,
2019,34425,29900,32900,https://web.archive.org/web/20191215213222/https://gradschool.princeton.edu/node/1012,
2020,35500,30800,33800,https://web.archive.org/web/20210618080105/https://gradschool.princeton.edu/node/1012,
2021,36570,31720,34800,https://web.archive.org/web/20210916164020/https://gradschool.princeton.edu/node/1012,
2022,45600,40000,42000,https://web.archive.org/web/20220916024818/https://gradschool.princeton.edu/financial-support/financial-support-model,
2023,47880,42000,44100,https://web.archive.org/web/20240314113859/https://gradschool.princeton.edu/financial-support/financial-support-model/funding-calendar-university-rates-and-costs,
2024,,43785,,https://www.princeton.edu/news/2024/03/29/princeton-trustees-set-2024-25-budget-increasing-spending-undergraduate-financial
